long,lat,id_arbol,altura_tot,diametro,inclinacio,id_especie,nombre_com,nombre_cie,tipo_folla,espacio_ve,ubicacion,nombre_fam,nombre_gen,origen,coord_x,coord_y
8.4269738708,-34.562265541,2516,20,63,0,45,Casuarina,Casuarina cunninghamiana,Árbol Latifoliado Perenne,"SANCHEZ, FLORENCIO","ALSINA, VALENTIN, AV. - FIGUEROA ALCORTA, AV. - MENDEZ, A.",Casuarinaceas,Casuarina,Exótico,103333.65727899999,107432.448479
-58.4187986351,-34.5723165414,2517,16,70,0,55,Fenix,Phoenix canariensis,Palmera,HOLANDA,"ISABEL, INFANTA, AV. - IRAOLA, AV. - MONTT, PEDRO, PRES., AV. - DEL LIBERTADOR, AV.",Arecaceas,Phoenix,Exótico,104083.42188,106317.168175
-58.4185582155,-34.5723381796,2518,2,200,0,138,Palmito,Chamaerops humilis,Palmera,HOLANDA,"ISABEL, INFANTA, AV. - IRAOLA, AV. - MONTT, PEDRO, PRES., AV. - DEL LIBERTADOR, AV.",Arecaceas,Chamaerops,Exótico,104105.48503899999,106314.756253
-58.4276949484,-34.5626695086,2519,34,113,0,330,Eucalipto,Eucalyptus sp.,Árbol Latifoliado Perenne,DE PAKISTAN,"DORREGO, AV. - FIGUEROA ALCORTA, PRES., AV.- MENDEZ, AGUSTIN - CALLE DE ACCESO AL HIPODROMO",Mirtáceas,Eucalyptus,Exótico,103267.46115599999,107387.653399
-58.423979035900004,-34.5639321271,2520,29,84,12,330,Eucalipto,Eucalyptus sp.,Árbol Latifoliado Perenne,DE PAKISTAN,"DORREGO, AV. - FIGUEROA ALCORTA, PRES., AV.- MENDEZ, AGUSTIN - CALLE DE ACCESO AL HIPODROMO",Mirtáceas,Eucalyptus,Exótico,103608.426612,107247.461347
-58.4260824338,-34.563225950500005,2526,15,15,0,43,Pata de vaca  (Pezuña de vaca),Bauhinia forticata,Árbol Latifoliado Caducifolio,DE PAKISTAN,"DORREGO, AV. - FIGUEROA ALCORTA, PRES., AV.- MENDEZ, AGUSTIN - CALLE DE ACCESO AL HIPODROMO",Leguminosas,Bauhinia,Nativo/Autóctono,103415.421226,107325.87696699999
-58.422928114399994,-34.563997685100006,2527,11,50,0,43,Pata de vaca  (Pezuña de vaca),Bauhinia forticata,Árbol Latifoliado Caducifolio,DE PAKISTAN,"DORREGO, AV. - FIGUEROA ALCORTA, PRES., AV.- MENDEZ, AGUSTIN - CALLE DE ACCESO AL HIPODROMO",Leguminosas,Bauhinia,Nativo/Autóctono,103704.86035700001,107240.152975
-58.4227527407,-34.5643166504,2528,15,18,11,43,Pata de vaca  (Pezuña de vaca),Bauhinia forticata,Árbol Latifoliado Caducifolio,DE PAKISTAN,"DORREGO, AV. - FIGUEROA ALCORTA, PRES., AV.- MENDEZ, AGUSTIN - CALLE DE ACCESO AL HIPODROMO",Leguminosas,Bauhinia,Nativo/Autóctono,103720.94797000001,107204.76022699999
-58.42255730390001,-34.5644326026,2529,27,56,0,93,Kauri de corteza lisa,Agathis robusta,Árbol Latifoliado Perenne,DE PAKISTAN,"DORREGO, AV. - FIGUEROA ALCORTA, PRES., AV.- MENDEZ, AGUSTIN - CALLE DE ACCESO AL HIPODROMO",Araucariaceas,Agathis,Exótico,103738.874166,107191.890137
-58.423091223,-34.5644933544,2530,13,32,20,43,Pata de vaca  (Pezuña de vaca),Bauhinia forticata,Árbol Latifoliado Caducifolio,DE PAKISTAN,"DORREGO, AV. - FIGUEROA ALCORTA, PRES., AV.- MENDEZ, AGUSTIN - CALLE DE ACCESO AL HIPODROMO",Leguminosas,Bauhinia,Nativo/Autóctono,103689.875895,107185.179305
